일자,방문인원수,counterfactual_visitors,difference
2021-03-24,1101,1774,673
2021-03-25,1628,2023,395
2021-03-26,1453,3084,1631
2021-03-27,1291,6834,5543
2021-03-28,2007,6139,4132
2021-03-29,802,274,-528
2021-03-30,1616,1792,176
2021-03-31,3512,2475,-1037
2021-04-01,4433,5696,1263
2021-04-02,5286,5272,-14
2021-04-03,491,5581,5090
2021-04-04,15169,13362,-1807
2021-04-05,4368,3481,-887
2021-04-06,3724,4595,871
2021-04-07,4132,5057,925
2021-04-08,3214,4920,1706
2021-04-09,5688,5495,-193
2021-04-10,21369,21658,289
2021-04-11,20591,23069,2478
2021-04-12,319,2555,2236
2021-04-13,1458,1248,-210
2021-04-14,2003,2907,904
2021-04-15,2301,4246,1945
2021-04-16,585,3285,2700
2021-04-17,5544,16199,10655
2021-04-18,23276,16334,-6942
2021-04-19,2765,4301,1536
2021-04-20,2360,5032,2672
2021-04-21,2341,4888,2547
2021-04-22,1817,5725,3908
2021-04-23,2214,5618,3404
2021-04-24,15031,19135,4104
2021-04-25,17717,19651,1934
2021-04-26,2483,7092,4609
2021-04-27,1771,4772,3001
2021-04-28,1459,4251,2792
2021-04-29,1594,5262,3668
2021-04-30,1259,5523,4264
2021-05-01,5173,11418,6245
2021-05-02,17650,9579,-8071
2021-05-03,5302,8167,2865
2021-05-04,536,2659,2123
2021-05-05,46206,17616,-28590
2021-05-06,5036,5446,410
2021-05-07,1287,1271,-16
2021-05-08,3533,16145,12612
2021-05-09,12740,16266,3526
2021-05-10,322,5048,4726
2021-05-11,4631,6074,1443
2021-05-12,2227,5993,3766
2021-05-13,2823,5542,2719
2021-05-14,3140,6902,3762
2021-05-15,2672,6667,3995
2021-05-16,426,5787,5361
2021-05-17,542,2855,2313
2021-05-18,3884,6721,2837
2021-05-19,24671,19585,-5086
2021-05-20,1304,5398,4094
2021-05-21,1711,3910,2199
2021-05-22,19649,15293,-4356
2021-05-23,17161,18431,1270
2021-05-24,3989,6433,2444
2021-05-25,2173,3696,1523
2021-05-26,4690,7370,2680
2021-05-27,1004,4329,3325
2021-05-28,1298,4817,3519
2021-05-29,12491,14736,2245
2021-05-30,30143,8630,-21513
2021-05-31,3012,5558,2546
2021-06-01,3165,5421,2256
2021-06-02,3384,5370,1986
2021-06-03,701,2741,2040
2021-06-04,4275,6174,1899
