"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210101","6호선","약수","826","763","20210104",""
"20210101","6호선","청구","873","855","20210104",""
"20210101","6호선","신당","1492","1393","20210104",""
"20210101","6호선","동묘앞","2587","2367","20210104",""
"20210101","6호선","창신","833","704","20210104",""
"20210101","6호선","보문","1910","1714","20210104",""
"20210101","6호선","안암(고대병원앞)","2200","2051","20210104",""
"20210101","6호선","고려대(종암)","1948","1880","20210104",""
"20210101","6호선","월곡(동덕여대)","2807","2770","20210104",""
"20210101","6호선","상월곡(한국과학기술연구원)","1557","1475","20210104",""
"20210101","6호선","돌곶이","2170","2095","20210104",""
"20210101","6호선","석계","3252","3261","20210104",""
"20210101","6호선","태릉입구","1386","1425","20210104",""
"20210101","6호선","화랑대(서울여대입구)","2113","1866","20210104",""
"20210101","6호선","봉화산(서울의료원)","1914","1969","20210104",""
"20210101","7호선","장암","483","311","20210104",""
"20210101","7호선","도봉산","2324","3610","20210104",""
"20210101","7호선","수락산","3749","3958","20210104",""
"20210101","7호선","마들","3321","3395","20210104",""
"20210101","7호선","노원","4618","4714","20210104",""
"20210101","7호선","중계","3397","3232","20210104",""
"20210101","7호선","하계","4391","4160","20210104",""
"20210101","7호선","공릉(서울과학기술대)","3259","3276","20210104",""
"20210101","7호선","태릉입구","2202","1934","20210104",""
"20210101","7호선","먹골","2765","2796","20210104",""
"20210101","7호선","중화","3080","3008","20210104",""
"20210101","7호선","상봉(시외버스터미널)","4811","4532","20210104",""
"20210101","7호선","면목","4288","4321","20210104",""
"20210101","7호선","사가정","4918","4753","20210104",""
"20210101","7호선","용마산(용마폭포공원)","1724","1844","20210104",""
"20210101","7호선","중곡","2560","2568","20210104",""
"20210101","7호선","군자(능동)","4020","3039","20210104",""
"20210101","7호선","어린이대공원(세종대)","3247","2989","20210104",""
"20210101","7호선","건대입구","3804","3634","20210104",""
"20210101","7호선","뚝섬유원지","2308","2301","20210104",""
"20210101","수인선","송도","824","798","20210104",""
"20210101","수인선","연수","1600","1571","20210104",""
"20210101","수인선","원인재","1496","1492","20210104",""
"20210101","수인선","남동인더스파크","365","302","20210104",""
"20210101","수인선","호구포","1036","935","20210104",""
"20210101","수인선","인천논현","1649","1756","20210104",""
"20210101","수인선","소래포구","2402","2360","20210104",""
"20210101","수인선","월곶","874","910","20210104",""
"20210101","수인선","달월","30","26","20210104",""
"20210101","수인선","사리","1073","1045","20210104",""
