date,visitors,station_ride,station_alight,station_total
2016-01-14,872.0,3868.0,4120.0,7988.0
2016-01-15,1047.0,4361.0,4518.0,8879.0
2016-01-16,2997.0,6652.0,7290.0,13942.0
2016-01-17,3448.0,5495.0,5664.0,11159.0
2016-01-18,808.0,2295.0,2457.0,4752.0
2016-01-19,300.0,2001.0,2210.0,4211.0
2016-01-20,422.0,2425.0,2589.0,5014.0
2016-01-21,627.0,2851.0,2995.0,5846.0
2016-01-22,586.0,3058.0,3176.0,6234.0
2016-01-23,890.0,3671.0,3971.0,7642.0
2016-01-24,324.0,1820.0,1793.0,3613.0
2016-01-25,422.0,1379.0,1533.0,2912.0
2016-01-26,758.0,3209.0,3371.0,6580.0
2016-01-27,1218.0,3915.0,4083.0,7998.0
2016-01-28,1146.0,3669.0,3879.0,7548.0
2016-01-29,1777.0,3425.0,3613.0,7038.0
2016-01-30,4128.0,6483.0,6641.0,13124.0
2016-01-31,2584.0,4237.0,4685.0,8922.0
2016-02-01,3746.0,1861.0,2019.0,3880.0
2016-02-02,2927.0,2584.0,2813.0,5397.0
2016-02-03,1130.0,3460.0,3705.0,7165.0
2016-02-04,1120.0,2702.0,2892.0,5594.0
2016-02-05,840.0,2516.0,2719.0,5235.0
2016-02-06,2058.0,3411.0,3960.0,7371.0
2016-02-07,2128.0,2724.0,2856.0,5580.0
2016-02-08,3221.0,3321.0,3265.0,6586.0
2016-02-09,7060.0,5957.0,6114.0,12071.0
2016-02-10,9949.0,7325.0,7664.0,14989.0
2016-02-11,3098.0,3871.0,4068.0,7939.0
2016-02-12,357.0,1834.0,1960.0,3794.0
2016-02-13,2742.0,3825.0,4015.0,7840.0
2016-02-14,2042.0,4226.0,4559.0,8785.0
2016-02-15,696.0,2199.0,2336.0,4535.0
2016-02-16,994.0,2830.0,3111.0,5941.0
2016-02-17,1429.0,3983.0,4122.0,8105.0
2016-02-18,1622.0,4576.0,4862.0,9438.0
2016-02-19,1630.0,4324.0,4453.0,8777.0
2016-02-20,6626.0,7863.0,8318.0,16181.0
2016-02-21,5102.0,5898.0,6109.0,12007.0
2016-02-22,1398.0,3406.0,3596.0,7002.0
2016-02-23,1726.0,4739.0,4949.0,9688.0
2016-02-24,1333.0,4192.0,4420.0,8612.0
2016-02-25,1538.0,5226.0,5439.0,10665.0
2016-02-26,2519.0,5147.0,5364.0,10511.0
2016-02-27,6519.0,8279.0,8772.0,17051.0
2016-02-28,4970.0,5946.0,6291.0,12237.0
2016-02-29,1233.0,3450.0,3648.0,7098.0
2016-03-01,4507.0,5555.0,5927.0,11482.0
2016-03-02,2146.0,2680.0,2929.0,5609.0
2016-03-03,1783.0,2785.0,3059.0,5844.0
2016-03-04,2783.0,3203.0,3448.0,6651.0
2016-03-05,1405.0,2917.0,3196.0,6113.0
2016-03-06,11564.0,5721.0,6197.0,11918.0
2016-03-07,1480.0,2207.0,2391.0,4598.0
2016-03-08,11521.0,2673.0,2997.0,5670.0
2016-03-09,1255.0,2526.0,2821.0,5347.0
2016-03-10,1184.0,2604.0,2797.0,5401.0
2016-03-11,2305.0,2568.0,2859.0,5427.0
2016-03-12,7460.0,6798.0,7387.0,14185.0
2016-03-13,6352.0,4783.0,5117.0,9900.0
2016-03-14,2385.0,2628.0,2898.0,5526.0
2016-03-15,2541.0,3352.0,3631.0,6983.0
2016-03-16,2697.0,3317.0,3637.0,6954.0
2016-03-17,2529.0,3315.0,3579.0,6894.0
2016-03-18,2836.0,3840.0,3965.0,7805.0
2016-03-19,33131.0,15045.0,15698.0,30743.0
2016-03-20,34360.0,12551.0,12699.0,25250.0
2016-03-21,3537.0,3515.0,3683.0,7198.0
2016-03-22,3338.0,3807.0,4222.0,8029.0
2016-03-23,2787.0,3487.0,3716.0,7203.0
2016-03-24,2438.0,3690.0,4095.0,7785.0
2016-03-25,3291.0,5180.0,5362.0,10542.0
2016-03-26,21748.0,12730.0,13479.0,26209.0
2016-03-27,30489.0,12222.0,12558.0,24780.0
2016-03-28,4136.0,3848.0,3994.0,7842.0
2016-03-29,2248.0,3565.0,3758.0,7323.0
2016-03-30,4857.0,6250.0,6366.0,12616.0
2016-03-31,4758.0,5290.0,5599.0,10889.0
2016-04-01,7537.0,8714.0,8927.0,17641.0
2016-04-02,37787.0,19661.0,20662.0,40323.0
2016-04-03,9952.0,7468.0,7890.0,15358.0
2016-04-04,6813.0,5246.0,5505.0,10751.0
2016-04-05,7452.0,7150.0,7410.0,14560.0
2016-04-06,9032.0,9023.0,9362.0,18385.0
2016-04-07,5013.0,5844.0,6211.0,12055.0
2016-04-08,11370.0,14481.0,14865.0,29346.0
2016-04-09,32879.0,23015.0,24075.0,47090.0
2016-04-10,33139.0,22530.0,22904.0,45434.0
2016-04-11,11313.0,10110.0,10369.0,20479.0
2016-04-12,12028.0,11960.0,12351.0,24311.0
2016-04-13,26405.0,14852.0,15397.0,30249.0
2016-04-14,7079.0,7411.0,7746.0,15157.0
2016-04-15,14228.0,11197.0,11503.0,22700.0
2016-04-16,14154.0,9316.0,10458.0,19774.0
2016-04-17,14205.0,7979.0,8481.0,16460.0
2016-04-18,5862.0,4621.0,4879.0,9500.0
2016-04-19,12051.0,5605.0,5986.0,11591.0
2016-04-20,6493.0,5037.0,5366.0,10403.0
2016-04-21,3489.0,3564.0,3828.0,7392.0
2016-04-22,9794.0,7087.0,7381.0,14468.0
2016-04-23,14361.0,11932.0,12856.0,24788.0
2016-04-24,19642.0,11698.0,11859.0,23557.0
2016-04-25,19979.0,5167.0,5407.0,10574.0
2016-04-26,11099.0,5993.0,6467.0,12460.0
2016-04-27,9335.0,7554.0,8005.0,15559.0
2016-04-28,11151.0,8061.0,8376.0,16437.0
2016-04-29,15084.0,14890.0,15109.0,29999.0
2016-04-30,21736.0,14422.0,15221.0,29643.0
2016-05-01,30424.0,14587.0,14652.0,29239.0
2016-05-02,7733.0,4963.0,5146.0,10109.0
2016-05-03,753.0,3217.0,3386.0,6603.0
2016-05-04,10890.0,21396.0,21117.0,42513.0
2016-05-05,56576.0,35062.0,35663.0,70725.0
2016-05-06,8080.0,7814.0,7864.0,15678.0
2016-05-07,25904.0,16606.0,17093.0,33699.0
2016-05-08,19215.0,10711.0,10867.0,21578.0
2016-05-09,6806.0,7425.0,7487.0,14912.0
2016-05-10,2258.0,3710.0,3971.0,7681.0
2016-05-11,7709.0,6885.0,7151.0,14036.0
2016-05-12,16904.0,9792.0,9930.0,19722.0
2016-05-13,17355.0,23874.0,23714.0,47588.0
2016-05-14,32851.0,21932.0,22779.0,44711.0
2016-05-15,14075.0,7982.0,8538.0,16520.0
2016-05-16,5166.0,4195.0,4565.0,8760.0
2016-05-17,8275.0,6822.0,7292.0,14114.0
2016-05-18,7436.0,6958.0,7383.0,14341.0
2016-05-19,9941.0,7833.0,7989.0,15822.0
2016-05-20,23828.0,16878.0,16909.0,33787.0
2016-05-21,23279.0,15249.0,16023.0,31272.0
2016-05-22,18154.0,11559.0,12087.0,23646.0
2016-05-23,5561.0,5715.0,5795.0,11510.0
2016-05-24,4659.0,5633.0,5944.0,11577.0
2016-05-25,8076.0,6094.0,6331.0,12425.0
2016-05-26,10669.0,8527.0,8758.0,17285.0
2016-05-27,12776.0,14596.0,14729.0,29325.0
2016-05-28,26458.0,17186.0,18055.0,35241.0
2016-05-29,26432.0,14108.0,14437.0,28545.0
2016-05-30,6051.0,5003.0,5176.0,10179.0
2016-05-31,8171.0,6565.0,6899.0,13464.0
